datatype,network,seed,alpha,dim,final_loss_mean,training_time,total_param,total_ite,test_mse,test_rmse,test_relative,best_test_mse,best_test_rmse,best_test_relative,best_step
poisson,modifiedsinckan,0,1.0,10,2.1866393089294434,194.42727971076965,468487,2500,0.004719452,0.068698265,0.09528675,0.004719452001154423,0.06869826465845108,0.09528674930334091,2500
poisson,modifiedsinckan,0,1.0,10,2.09503173828125,1178.8127732276917,468487,2500,0.0047428138,0.068868086,0.0955223,0.0047273701056838036,0.0687558725476265,0.09536664187908173,2000
poisson,modifiedsinckan,0,1.0,10,5.139644145965576,1184.7000432014465,468487,2500,0.04585365,0.21413465,0.2970118,0.04585364833474159,0.21413464844226837,0.2970117926597595,2500
poisson,modifiedsinckan,0,1.0,10,0.32017624378204346,680.4926261901855,121607,2500,0.0029178036,0.0540167,0.07492293,0.002917803591117263,0.05401669815182686,0.07492292672395706,2500
poisson,modifiedsinckan,0,1.0,10,0.2801048159599304,733.8316352367401,121607,2500,0.0023296168,0.048266105,0.06694667,0.0023296168074011803,0.048266105353832245,0.06694667041301727,2500
poisson,modifiedsinckan,0,1.0,10,0.9063686728477478,124.46443843841553,121607,2500,0.0082466975,0.09081133,0.1259583,0.00824669748544693,0.09081132709980011,0.12595829367637634,2500
poisson,modifiedsinckan,0,1.0,10,0.18728706240653992,127.85237622261047,121607,2500,0.0017817165,0.04221038,0.058547184,0.001781716477125883,0.04221038147807121,0.058547183871269226,2500
poisson,modifiedsinckan,0,1.0,10,0.32986071705818176,1192.7525327205658,70087,2500,0.002718682,0.05214098,0.07232125,0.002718681935220957,0.0521409809589386,0.07232125103473663,2500
poisson,modifiedsinckan,0,1.0,10,0.11922626197338104,1214.1016771793365,70087,2500,0.00079521525,0.028199561,0.039113715,0.0007952152518555522,0.028199560940265656,0.039113715291023254,2500
poisson,modifiedsinckan,0,1.0,10,0.3806355595588684,93.27282571792603,32647,2500,0.000735618,0.027122278,0.03761949,0.0007356179994530976,0.02712227776646614,0.037619490176439285,2500
poisson,modifiedsinckan,0,1.0,10,0.00013106633559800684,980.6373991966248,32647,40000,9.517434e-07,0.0009755734,0.0013531522,9.517434023109672e-07,0.0009755733772180974,0.0013531522126868367,40000
